group,animal,session,n_frames,head_above_pcutoff,body_above_pcutoff,spatial_plausibility,jump_rate_head,jump_rate_body
Group1,G1_C01,G1_C01_S1_25-05-26,92279,0.9997,0.9996,0.9994,0.0,0.0
Group1,G1_C01,G1_C01_S2_27-05-26,91392,0.9997,1.0,1.0,0.0,0.0001
Group1,G1_C01,G1_C01_S3_29-05-26,91425,0.9996,0.9993,0.9988,0.0,0.0
Group1,G1_C02,G1_C02_S1_25-05-26,90710,0.9999,1.0,1.0,0.0,0.0
Group1,G1_C02,G1_C02_S2_27-05-26,90868,0.9997,0.9998,1.0,0.0,0.0
Group1,G1_C02,G1_C02_S3_29-05-26,91409,1.0,0.9998,1.0,0.0,0.0
Group1,G1_C03,G1_C03_S1_25-05-26,90761,1.0,1.0,0.9782,0.0,0.0
Group1,G1_C03,G1_C03_S2_27-05-26,92270,1.0,1.0,0.9999,0.0,0.0
Group1,G1_C03,G1_C03_S3_29-05-26,92324,1.0,1.0,0.9828,0.0,0.0
Group1,G1_C04,G1_C04_S1_25-05-26,91311,0.9993,0.9997,1.0,0.0,0.0
Group1,G1_C04,G1_C04_S2_27-05-26,93000,0.9999,0.9999,1.0,0.0009,0.0
Group1,G1_C04,G1_C04_S3_29-05-26,92040,1.0,1.0,1.0,0.0,0.0
Group1,G1_C06,G1_C06_S1_25-05-26,92299,1.0,0.9999,1.0,0.0001,0.0
Group1,G1_C06,G1_C06_S2_27-05-26,92895,0.9979,0.9997,0.9996,0.0,0.0
Group1,G1_C06,G1_C06_S3_29-05-26,92153,1.0,0.9995,0.9967,0.0,0.0
Group2,G2_C01,G2_C01_S1_26-05-26,90834,0.9022,1.0,0.9995,0.0,0.0
Group2,G2_C01,G2_C01_S2_28-05-26,90740,1.0,1.0,1.0,0.0,0.0
Group2,G2_C02,G2_C02_S1_26-05-26,91385,0.9992,0.9998,0.9989,0.0,0.0004
Group2,G2_C02,G2_C02_S2_28-05-26,92278,0.9997,1.0,1.0,0.0,0.0
Group2,G2_C02,G2_C02_S3_30-05-26,91685,0.9984,0.996,1.0,0.0,0.0
Group2,G2_C03,G2_C03_S1_26-05-26,91060,0.9997,0.9999,1.0,0.0,0.0
Group2,G2_C03,G2_C03_S2_28-05-26,90877,0.9615,0.9987,0.9996,0.0,0.0
Group2,G2_C03,G2_C03_S3_30-05-26,91335,1.0,1.0,0.9997,0.0,0.0
Group2,G2_C04,G2_C04_S1_26-05-26,91233,1.0,0.9999,1.0,0.0,0.0
Group2,G2_C04,G2_C04_S2_28-05-26,91296,1.0,0.9997,1.0,0.0,0.0
Group2,G2_C04,G2_C04_S3_30-05-26,92116,0.9999,0.9998,1.0,0.0,0.0
Group2,G2_C05,G2_C05_S1_26-05-26,91509,0.9999,1.0,1.0,0.0,0.0
Group2,G2_C05,G2_C05_S2_28-05-26,92277,1.0,0.9999,0.999,0.0,0.0
Group2,G2_C05,G2_C05_S3_30-05-26,91765,1.0,1.0,0.9999,0.0,0.0
Group2,G2_C06,G2_C06_S1_26-05-26,90867,0.9998,0.9984,0.9999,0.0,0.0
Group2,G2_C06,G2_C06_S2_28-05-26,93001,0.9954,0.9997,0.9999,0.0013,0.0
Group2,G2_C06,G2_C06_S3_30-05-26,91506,0.9972,1.0,0.9993,0.0001,0.0
Group3,G3_C01,G3_C01_S1_01-06-26,90908,1.0,1.0,1.0,0.0,0.0
Group3,G3_C01,G3_C01_S2_03-06-26,92214,1.0,1.0,1.0,0.0,0.0
Group3,G3_C01,G3_C01_S3_05-06-26,92507,1.0,1.0,1.0,0.0,0.0
Group3,G3_C02,G3_C02_S1_01-06-26,93000,0.9999,0.9995,1.0,0.0,0.0
Group3,G3_C02,G3_C02_S2_03-06-26,91527,0.9995,1.0,1.0,0.0,0.0
Group3,G3_C02,G3_C02_S3_05-06-26,92491,1.0,1.0,0.9998,0.0,0.0
Group3,G3_C04,G3_C04_S1_01-06-26,92672,0.997,0.8674,1.0,0.0,0.0
Group3,G3_C04,G3_C04_S2_03-06-26,92476,0.9981,0.9994,1.0,0.0,0.0
Group3,G3_C04,G3_C04_S3_05-06-26,91566,0.9992,0.9973,0.9999,0.0,0.0
Group3,G3_C05,G3_C05_S1_01-06-26,92634,1.0,1.0,1.0,0.0,0.0
Group3,G3_C05,G3_C05_S2_03-06-26,92474,1.0,0.9999,1.0,0.0,0.0
Group3,G3_C05,G3_C05_S3_05-06-26,91568,1.0,1.0,1.0,0.0,0.0
Group3,G3_C06,G3_C06_S1_01-06-26,92001,1.0,0.9999,1.0,0.0,0.0
Group3,G3_C06,G3_C06_S2_03-06-26,91802,1.0,0.9994,1.0,0.0,0.0
Group3,G3_C06,G3_C06_S3_05-03-26,92013,1.0,1.0,1.0,0.0,0.0029
Group4,G4_C02,G4_C02_S1_02-06-26,91345,0.9995,0.9947,1.0,0.0,0.0
Group4,G4_C02,G4_C02_S2_04-06-26,91938,0.9999,0.9984,1.0,0.0,0.0
Group4,G4_C02,G4_C02_S3_06-06-26,91676,1.0,0.9999,1.0,0.0,0.0
Group4,G4_C04,G4_C04_S1_02-06-26,92145,0.9997,0.9998,1.0,0.0,0.0
Group4,G4_C04,G4_C04_S2_04-06-26,91527,0.9991,0.9998,0.9996,0.0,0.0001
Group4,G4_C04,G4_C04_S3_06-06-26,92440,0.9999,0.9998,1.0,0.0,0.0
